codigo_ibge;uf;nome_municipio;codigo_servico;incidencia;aliquota;dt_ini;dt_fim
2800308;SE;Aracaju;06.03.01.000;06.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;06.04.01.000;06.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;06.05.01.000;06.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;06.06.01.000;06.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.01.01.000;07.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.01.02.000;07.01.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.01.03.000;07.01.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.01.04.000;07.01.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.01.05.000;07.01.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.01.06.000;07.01.06.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.02.01.000;07.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.02.02.000;07.02.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.03.01.000;07.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.03.02.000;07.03.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.04.01.000;07.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.05.01.000;07.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.05.02.000;07.05.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.06.01.000;07.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.06.02.000;07.06.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.07.01.000;07.07.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.08.01.000;07.08.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.09.01.000;07.09.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.09.02.000;07.09.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.10.01.000;07.10.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.10.02.000;07.10.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.11.01.000;07.11.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.11.02.000;07.11.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.12.01.000;07.12.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.13.01.000;07.13.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.16.01.000;07.16.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.17.01.000;07.17.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.18.01.000;07.18.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.19.01.000;07.19.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.20.01.000;07.20.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.20.02.000;07.20.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.20.03.000;07.20.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.21.01.000;07.21.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;07.22.01.000;07.22.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;08.01.01.000;08.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;08.01.02.000;08.01.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;08.02.01.000;08.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;09.01.01.000;09.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;09.01.02.000;09.01.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;09.01.03.000;09.01.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;09.01.04.000;09.01.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;09.02.01.000;09.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;09.02.02.000;09.02.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;09.03.01.000;09.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.01.01.000;10.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.01.02.000;10.01.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.01.03.000;10.01.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.01.04.000;10.01.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.01.05.000;10.01.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.02.01.000;10.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.02.02.000;10.02.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.03.01.000;10.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.04.01.000;10.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.04.02.000;10.04.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.04.03.000;10.04.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.05.01.000;10.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.05.02.000;10.05.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.06.01.000;10.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.07.01.000;10.07.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.08.01.000;10.08.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.09.01.000;10.09.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;10.10.01.000;10.10.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;11.01.01.000;11.01.01.000;5;2023-10-20T00:00:00;2023-10-20T00:00:00
2800308;SE;Aracaju;11.01.01.000;11.01.01.000;5;2023-10-21T00:00:00;2023-10-22T00:00:00
2800308;SE;Aracaju;11.01.01.000;11.01.01.000;5;2023-10-23T00:00:00;2023-10-24T00:00:00
2800308;SE;Aracaju;11.01.01.000;11.01.01.000;5;2023-10-25T00:00:00;2023-10-26T00:00:00
2800308;SE;Aracaju;11.01.01.000;11.01.01.000;5;2023-10-27T00:00:00;
2800308;SE;Aracaju;11.01.02.000;11.01.02.000;5;2023-10-20T00:00:00;2023-10-20T00:00:00
2800308;SE;Aracaju;11.01.02.000;11.01.02.000;5;2023-10-21T00:00:00;2023-10-22T00:00:00
2800308;SE;Aracaju;11.01.02.000;11.01.02.000;5;2023-10-23T00:00:00;2023-10-24T00:00:00
2800308;SE;Aracaju;11.01.02.000;11.01.02.000;5;2023-10-25T00:00:00;2023-10-26T00:00:00
2800308;SE;Aracaju;11.01.02.000;11.01.02.000;5;2023-10-27T00:00:00;
2800308;SE;Aracaju;11.02.01.000;11.02.01.000;5;2023-10-20T00:00:00;2023-10-20T00:00:00
2800308;SE;Aracaju;11.02.01.000;11.02.01.000;5;2023-10-21T00:00:00;2023-10-22T00:00:00
2800308;SE;Aracaju;11.02.01.000;11.02.01.000;5;2023-10-23T00:00:00;2023-10-24T00:00:00
